rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1, 1
rnbqkbnr/1ppppppp/8/p7/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2, 1
rnbqkbnr/1ppppppp/8/p7/7P/2P5/PP1PPPP1/RNBQKBNR b KQkq - 0 2, 0
rnbqkbnr/1pppp1pp/8/p4p2/7P/2P5/PP1PPPP1/RNBQKBNR w KQkq - 0 3, 1
rnbqkbnr/1pppp1pp/8/p4p2/1P5P/2P5/P2PPPP1/RNBQKBNR b KQkq - 0 3, 0
r1bqkbnr/1pppp1pp/2n5/p4p2/1P5P/2P5/P2PPPP1/RNBQKBNR w KQkq - 1 4, 1
r1bqkbnr/1pppp1pp/2n5/p4p2/1P5P/2P2N2/P2PPPP1/RNBQKB1R b KQkq - 2 4, 0
r1bqkbnr/2ppp1pp/2n5/pp3p2/1P5P/2P2N2/P2PPPP1/RNBQKB1R w KQkq - 0 5, 1
r1bqkbnr/2ppp1pp/2n5/pp3p2/1P1N3P/2P5/P2PPPP1/RNBQKB1R b KQkq - 1 5, 0
r1bq1bnr/2pppkpp/2n5/pp3p2/1P1N3P/2P5/P2PPPP1/RNBQKB1R w KQ - 2 6, 1
r1bq1bnr/2pppkpp/2n5/pp3p2/1P1N3P/2P4R/P2PPPP1/RNBQKB2 b Q - 3 6, 0
r1bq1bnr/2ppp1pp/2n2k2/pp3p2/1P1N3P/2P4R/P2PPPP1/RNBQKB2 w Q - 4 7, 1
r1bq1bnr/2ppp1pp/2n2k2/pp3p2/QP1N3P/2P4R/P2PPPP1/RNB1KB2 b Q - 5 7, 0
r1bq1bnr/2ppp1p1/2n2k2/pp3p1p/QP1N3P/2P4R/P2PPPP1/RNB1KB2 w Q - 0 8, 1
r1bq1bnr/2ppp1p1/2n2k2/pp3p1p/QP1N3P/2PR4/P2PPPP1/RNB1KB2 b Q - 1 8, 0
r1bq1bnr/2ppp1p1/5k2/pp2np1p/QP1N3P/2PR4/P2PPPP1/RNB1KB2 w Q - 2 9, 0
r1bq1bnr/2ppp1p1/5k2/pp2np1p/QP5P/1NPR4/P2PPPP1/RNB1KB2 b Q - 3 9, 0
r1bq1bnr/2pppnp1/5k2/pp3p1p/QP5P/1NPR4/P2PPPP1/RNB1KB2 w Q - 4 10, 0
r1bq1bnr/2pppnp1/5k2/pp3p1p/QP5P/1NPR4/P2PPPP1/RNBK1B2 b - - 5 10, 0
r1bq1bnr/2ppp1p1/5k2/pp3pnp/QP5P/1NPR4/P2PPPP1/RNBK1B2 w - - 6 11, 1
r1bq1bnr/2ppp1p1/5k2/pp3pnp/QP5P/1NPRP3/P2P1PP1/RNBK1B2 b - - 0 11, 0
r1bq1bnr/2ppp3/5kp1/pp3pnp/QP5P/1NPRP3/P2P1PP1/RNBK1B2 w - - 0 12, 1
r1bq1bnr/2ppp3/5kp1/pp1R1pnp/QP5P/1NP1P3/P2P1PP1/RNBK1B2 b - - 1 12, 0
2bq1bnr/r1ppp3/5kp1/pp1R1pnp/QP5P/1NP1P3/P2P1PP1/RNBK1B2 w - - 2 13, 1
2bq1bnr/r1ppp3/5kp1/pp1R1pnp/QP1P3P/1NP1P3/P4PP1/RNBK1B2 b - - 0 13, 0
2bq1bnr/r1ppp3/5kp1/pp1R2np/QP1P1p1P/1NP1P3/P4PP1/RNBK1B2 w - - 0 14, 1
2bq1bnr/r1ppp3/5kp1/pp1R2np/QP1P1p1P/BNP1P3/P4PP1/RN1K1B2 b - - 1 14, 0
2bq1b1r/r1ppp3/5kpn/pp1R2np/QP1P1p1P/BNP1P3/P4PP1/RN1K1B2 w - - 2 15, 1
2bq1b1r/r1ppp3/5kpn/pp1R2np/QP1PPp1P/BNP5/P4PP1/RN1K1B2 b - - 0 15, 0
2bq1b1r/r1pppn2/5kpn/pp1R3p/QP1PPp1P/BNP5/P4PP1/RN1K1B2 w - - 1 16, 1
2bq1b1r/r1pppn2/5kpn/pB1R3p/QP1PPp1P/BNP5/P4PP1/RN1K4 b - - 0 16, 1
2bq1b1r/1rpppn2/5kpn/pB1R3p/QP1PPp1P/BNP5/P4PP1/RN1K4 w - - 1 17, 1
2bq1b1r/1rpppn2/5kpn/p2R3p/QP1PPp1P/BNP5/P3BPP1/RN1K4 b - - 2 17, 1
2bq1b1r/1rpppn2/5k1n/p2R2pp/QP1PPp1P/BNP5/P3BPP1/RN1K4 w - - 0 18, 1
2bq1b1r/1rpppn2/5k1n/p2R2pp/QP1PPp1P/1NP5/PB2BPP1/RN1K4 b - - 1 18, 1
2bq1b1r/1rppp3/3n1k1n/p2R2pp/QP1PPp1P/1NP5/PB2BPP1/RN1K4 w - - 2 19, 1
2bq1b1r/1rppp3/3n1k1n/pR4pp/QP1PPp1P/1NP5/PB2BPP1/RN1K4 b - - 3 19, 1
2bq1b1r/1r1pp3/2pn1k1n/pR4pp/QP1PPp1P/1NP5/PB2BPP1/RN1K4 w - - 0 20, 1
2bq1b1r/1r1pp3/2pn1k1n/pR2P1pp/QP1P1p1P/1NP5/PB2BPP1/RN1K4 b - - 0 20, 1
2bq1b1r/1r1pp3/2pn3n/pR2Pkpp/QP1P1p1P/1NP5/PB2BPP1/RN1K4 w - - 1 21, 1
2bq1b1r/1r1pp3/2pn3n/pR2Pkpp/QP1P1p1P/1NPB4/PB3PP1/RN1K4 b - - 2 21, 1
2bq1b1r/1r1pp3/2pnk2n/pR2P1pp/QP1P1p1P/1NPB4/PB3PP1/RN1K4 w - - 3 22, 1
2bq1b1r/1r1pp3/2pnk2n/R3P1pp/QP1P1p1P/1NPB4/PB3PP1/RN1K4 b - - 0 22, 1
2bq1b1r/1r1pp3/2p1k2n/R3P1pp/QP1Pnp1P/1NPB4/PB3PP1/RN1K4 w - - 1 23, 1
2bq1b1r/1r1pp3/2p1k2n/RB2P1pp/QP1Pnp1P/1NP5/PB3PP1/RN1K4 b - - 2 23, 0
2bq1b1r/1r1pp3/2p1k2n/RBn1P1pp/QP1P1p1P/1NP5/PB3PP1/RN1K4 w - - 3 24, 1
2bq1b1r/1r1pp3/2p1k2n/RBn1P1pp/QP1P1p1P/1NP5/PBK2PP1/RN6 b - - 4 24, 0
2bq1b1r/1r1pp3/2p1k2n/RBn1P2p/QP1P1ppP/1NP5/PBK2PP1/RN6 w - - 0 25, 1
2bq1b1r/1r1pp3/2p1k2n/RBn1P2p/QP1P1ppP/2P5/PBKN1PP1/RN6 b - - 1 25, 0
2bq1b1r/3pp3/1rp1k2n/RBn1P2p/QP1P1ppP/2P5/PBKN1PP1/RN6 w - - 2 26, 1
2bq1b1r/3pp3/1rp1k2n/RBn1P2p/QP1P1ppP/2P3P1/PBKN1P2/RN6 b - - 0 26, 0
2bq1br1/3pp3/1rp1k2n/RBn1P2p/QP1P1ppP/2P3P1/PBKN1P2/RN6 w - - 1 27, 1
2bq1br1/3pp3/1rp1k2n/R1n1P2p/QP1P1ppP/2P3P1/PBKNBP2/RN6 b - - 2 27, 0
2bq1br1/3pp3/1rp1k2n/R3P2p/nP1P1ppP/2P3P1/PBKNBP2/RN6 w - - 0 28, 0
2bq1br1/3pp3/1rp1k2n/R3P2p/nP1P1ppP/2P3P1/P1KNBP2/RNB5 b - - 1 28, 0
3q1br1/1b1pp3/1rp1k2n/R3P2p/nP1P1ppP/2P3P1/P1KNBP2/RNB5 w - - 2 29, 0
3q1br1/1b1pp3/1rp1k2n/4P2p/RP1P1ppP/2P3P1/P1KNBP2/RNB5 b - - 0 29, 0
3q1br1/3pp3/brp1k2n/4P2p/RP1P1ppP/2P3P1/P1KNBP2/RNB5 w - - 1 30, 0
3q1br1/3pp3/brp1k2n/1B2P2p/RP1P1ppP/2P3P1/P1KN1P2/RNB5 b - - 2 30, 0
5br1/2qpp3/brp1k2n/1B2P2p/RP1P1ppP/2P3P1/P1KN1P2/RNB5 w - - 3 31, 0
5br1/2qpp3/brp1k2n/1B2P2p/RP1P1ppP/2P3P1/PK1N1P2/RNB5 b - - 4 31, 0
5br1/2qpp3/brp1k2n/1B2P2p/RP1P2pP/2P3p1/PK1N1P2/RNB5 w - - 0 32, 0
5br1/2qpp3/brp1k2n/1B2P2p/RP1P2pP/2P3p1/PK3P2/RNB2N2 b - - 1 32, 0
5br1/2qpp3/brp4n/1B2Pk1p/RP1P2pP/2P3p1/PK3P2/RNB2N2 w - - 2 33, 0
5br1/2qpp3/brp4n/1B2Pk1p/RP1P2pP/2P2Pp1/PK6/RNB2N2 b - - 0 33, 0
2b2br1/2qpp3/1rp4n/1B2Pk1p/RP1P2pP/2P2Pp1/PK6/RNB2N2 w - - 1 34, 0
2b2br1/2qpp3/1rp4n/1B2Pk1p/RP1P2pP/2P1NPp1/PK6/RNB5 b - - 2 34, 0
2b2br1/2qpp3/1rp4n/1B2P2p/RP1P1kpP/2P1NPp1/PK6/RNB5 w - - 3 35, 1
2b2br1/2qpp3/1rB4n/4P2p/RP1P1kpP/2P1NPp1/PK6/RNB5 b - - 0 35, 0
2b2br1/2q1p3/1rB4n/3pP2p/RP1P1kpP/2P1NPp1/PK6/RNB5 w - d6 0 36, 0
